,Year,Count_x,CountLeptopsyrosis
0,1799,1,
1,1801,1,
2,1802,1,
3,1805,1,
4,1866,1,
5,1881,2,
6,1882,2,
7,1884,2,
8,1886,1,
9,1887,2,
10,1888,1,
11,1891,1,
12,1893,2,
13,1894,4,
14,1896,13,
15,1897,16,
16,1898,14,
17,1899,14,
18,1900,7,
19,1901,7,
20,1902,3,
21,1903,1,
22,1904,3,
23,1905,21,
24,1906,13,
25,1907,30,
26,1908,24,
27,1909,39,
28,1910,38,
29,1911,70,
30,1912,92,
31,1913,93,
32,1914,96,
33,1915,113,
34,1916,143,
35,1917,117,
36,1918,119,
37,1919,199,
38,1920,224,
39,1921,214,
40,1922,177,
41,1923,179,
42,1924,204,
43,1925,220,
44,1926,212,
45,1927,247,
46,1928,250,
47,1929,233,
48,1930,224,
49,1931,222,
50,1932,214,
51,1933,218,
52,1934,193,
53,1935,223,
54,1936,198,
55,1937,186,
56,1938,187,
57,1939,194,
58,1940,189,
59,1941,181,
60,1942,173,
61,1943,145,
62,1944,148,1.0
63,1945,183,1.0
64,1946,155,
65,1947,151,
66,1948,149,
67,1949,266,
68,1950,297,
69,1951,256,
70,1952,267,
71,1953,359,
72,1954,362,
73,1955,396,
74,1956,514,
75,1957,548,
76,1958,653,
77,1959,991,
78,1960,1179,2.0
79,1961,1537,4.0
80,1962,2109,
81,1963,2736,1.0
82,1964,2804,2.0
83,1965,3443,
84,1966,5221,
85,1967,5796,
86,1968,6052,
87,1969,7748,
88,1970,8757,4.0
89,1971,9060,
90,1972,9858,
91,1973,10245,
92,1974,11859,
93,1975,90983,
94,1976,99357,2.0
95,1977,97831,1.0
96,1978,101675,
97,1979,110641,
98,1980,119102,
99,1981,119499,1.0
100,1982,125282,4.0
101,1983,155120,
102,1984,169903,2.0
103,1985,176600,4.0
104,1986,184004,4.0
105,1987,193629,1.0
106,1988,202345,2.0
107,1989,253137,
108,1990,260792,
109,1991,263800,1.0
110,1992,270985,1.0
111,1993,275503,
112,1994,286348,1.0
113,1995,295251,
114,1996,306294,
115,1997,313743,3.0
116,1998,329438,4.0
117,1999,340740,17.0
118,2000,373439,64.0
119,2001,388963,51.0
120,2002,405519,71.0
121,2003,426752,77.0
122,2004,459362,77.0
123,2005,492511,94.0
124,2006,521278,91.0
125,2007,548061,100.0
126,2008,585286,120.0
127,2009,618504,108.0
128,2010,653739,140.0
129,2011,702139,138.0
130,2012,765156,143.0
131,2013,809074,162.0
132,2014,850568,220.0
133,2015,876117,184.0
134,2016,896208,159.0
135,2017,907250,152.0
136,2018,959228,192.0
137,2019,999175,182.0
138,2020,1132241,202.0
139,2021,1277048,207.0
140,2022,1324650,214.0
141,2023,1302390,177.0
142,2024,15611,1.0
