,Author,Count First,Count Other,Count Sum,,country ,Count 1 ,Count 2 ,Count 3 
0,Ko AI,1,85,86,,USA ,USA 29,Brazil 15,
1,Picardeau M,6,72,78,,France,France 50,,
2,Lilenbaum W,6,71,77,,Brazil,Brazil 65,,
3,Dellagostin OA,1,59,60,,Brazil,Brazil 29 ,,
4,Reis MG,0,57,57,,Brazil,Brazil 26,USA 3,
5,Vasconcellos SA,0,56,56,,Brazil,Brazil 23,,
6,Hartskeerl RA,2,54,56,,Netherlands,Netherlands 21 ,,
7,Koizumi N,14,42,56,,Japan,Japan 36 ,Italy 1 ,
8,Costa F,5,36,41,,Brazil,Brazil 22,USA 13,
9,Goarant C,4,37,41,,France (new caladonia,France (new caladonia)        28,France 1 ,Switzerland 1 
10,Yan J,0,39,39,,China,China 12 ,Australia 1 ,
11,Vinetz JM,1,38,39,,USA,USA 11,Peru 3 ,
12,Romero EC,2,36,38,,Brazil,Brazil 17,,
13,Haake DA,6,32,38,,USA,USA 16,,
14,Vijayachari P,9,28,37,,India,India 20 ,,
15,Nally JE,8,29,37,,USA,USA 25,Ireland 5,
16,Bourhy P,6,30,36,,France,France 25 ,,
17,Natarajaseenivasan K,8,28,36,,India,India 28 ,,
18,Wunder EA,2,30,32,,USA,USA 19,Brazil 4,
19,Smythe LD,3,29,32,,Australia,Australia 4,,
20,Chang YF,1,30,31,,USA,USA 17,,
21,Adler B,5,25,30,,Australia,Australia 13,,
22,Craig SB,5,24,29,,Australia,Australia 18,,
23,Heinemann MB,1,27,28,,Brazil,Brazil 25,,
24,Martins G,7,20,27,,Brazil,Brazil 20,,
25,Hamond C,9,17,26,,Brazil,Brazil 11,USA 7,Urwaguy 3
26,Nascimento AL,1,25,26,,Brazil, Brazil 9,,
27,Hartwig DD,4,21,25,,Brazil,Brazil 16,,
28,Vieira ML,9,16,25,,Brazil,Brazil 11,Portugal 4,sweden 2
29,Benschop J,4,20,24,,New Zeland,New Zeland 19,Switzerland 2,
30,de Morais ZM,0,24,24,,Brazil,Brazil 9,,
31,Levett PN,7,17,24,,Barbados,Barbados 5 ,USA 2 ,Canada 1 
32,Kodjo A,1,22,23,,France,France 14 ,,
33,Yang CW,5,18,23,,Taiwan,Taiwan 13,China 1 ,
34,Galloway RL,2,21,23,,USA,USA 15 ,,
35,Seixas FK,2,21,23,,Brasil,Brasil 4 , ,
36,Sugunan AP,2,21,23,,India,India 6 ,,
37,Goris MG,4,18,22,,Netherlands,Netherlands 9 ,,
38,Heuer C,0,21,21,,New Zeland,New Zeland 11 ,,
39,McBride AJ,2,19,21,,Brazil,Brazil 7 ,,
40,Zhang W,5,16,21,,China,China 22 ,,
41,Medeiros MA,0,21,21,,Brazil,Brazil 13 ,,
42,Cao Y,2,19,21,,China,China 1 7,USA 1 ,
43,Rajapakse S,7,14,21,,Sri Lanka,Sri Lanka 17,,
44,Sehgal SC,4,16,20,,India,India 6 ,Netherlands 1 ,
45,Chierakul W,2,18,20,,Thailand,Thailand 4,,
46,Dohnt MF,0,19,19,,NaN,NaN,,
47,Nascimento ALTO,0,19,19,,Brazil,Brazil 18 ,,
48,McDonough SP,0,19,19,,USA,USA 6 ,,
49,Athanazio DA,2,17,19,,Brazil,Brazil 7 ,,
